"id","name","type","length","startLat","startLng","startStakeNum","endStakeNum","endLat","endLng","tollRoads","endTime","provinceType","operation","isLoopCity","enTollStation","exTollStation","entrystation","exitstation","tollGrantry","ownerid","roadid","roadidname","roadtype","feeKtype","feeHtype","status","Gantrys","inoutprovince","HEX","NOTE","SORT","DIRECTION","BEGINTIME","VERTICALSECTIONTYPE","tollstaion"
"G000561001000920","蒲城匝道-东杨互通",2,4704,"34.904179","109.601924",968.274,963.57,"34.912906","109.650841","G000561","2025-10-27",0,1,0,"G0005610010080",,400201,9990204,"G000561001000920",40,1,"阎禹高速",1,1,1,1,"G000561001000920010","0","270012","0",18,2,"2005-10-28",1,
"G000561001001010","蒲城匝道-荆姚匝道",2,16090,"34.904454","109.601696",968.274,984.364,"34.858420","109.441269","G000561","2025-10-27",0,1,0,"G0005610010080","G0005610010090",400201,400102,"G000561001001010",40,1,"阎禹高速",1,1,1,1,"G000561001001010010","0","270013","0",19,1,"2005-10-28",1,
"G000561001001020","荆姚匝道-蒲城匝道",2,16090,"34.858325","109.441540",984.364,968.274,"34.904179","109.601924","G000561","2025-10-27",0,1,0,"G0005610010090","G0005610010080",400102,400201,"G000561001001020",40,1,"阎禹高速",1,1,1,1,"G000561001001020010","0","270014","0",20,2,"2005-10-28",1,
"G000561001001110","荆姚匝道-富平匝道",2,24841,"34.858420","109.441269",984.364,1009.205,"34.725397","109.229122","G000561","2025-10-27",0,1,0,"G0005610010090","G0005610010100",400102,400101,"G000561001001110",40,1,"阎禹高速",1,1,1,1,"G000561001001110010","0","270015","0",21,1,"2005-10-28",1,
"G000561001001120","富平匝道-荆姚匝道",2,24841,"34.725434","109.229693",1009.205,984.364,"34.858325","109.441540","G000561","2025-10-27",0,1,0,"G0005610010100","G0005610010090",400101,400102,"G000561001001120",40,1,"阎禹高速",1,1,1,1,"G000561001001120010","0","270016","0",22,2,"2005-10-28",1,
"G000561001001210","富平匝道-阎禹交界点",2,7545,"34.725580","109.229317",1009.205,1013,"34.697081","109.207547","G000561","2025-10-27",0,1,0,"G0005610010100",,400101,9990009,"G000561001001210",40,1,"阎禹高速",1,1,1,1,"G000561001001210010","0","270017","0",23,1,"2005-10-28",1,
"G000561001001220","阎禹交界点-富平匝道",2,7545,"34.697081","109.207547",1013,1009.205,"34.725434","109.229693","G000561","2025-10-27",0,1,0,,"G0005610010100",9990009,400101,"G000561001001220",40,1,"阎禹高速",1,1,1,1,"G000561001001220010","0","270018","0",24,2,"2005-10-28",1,
"G000561001001310","龙门工业园站-龙门工业园",2,0,"35.591404","110.555108",840.69,844.82,"35.567688","110.518730","G000561","2025-10-27",0,1,0,"G0005610010110","G0005610010020",400306,400304,"G000561001001310",40,1,"阎禹高速",1,1,1,1,"G000561001001310010","0",,"6",1054,1,"2005-10-28",2,
"G000561001001320","龙门工业园-龙门工业园站",2,0,"35.567688","110.518730",844.82,840.69,"35.591404","110.555108","G000561","2025-10-27",0,1,0,"G0005610010020","G0005610010110",400304,400306,"G000561001001320",40,1,"阎禹高速",1,1,1,1,"G000561001001320010","0",,"6",1055,2,"2005-10-28",2,
"G000561001001410","龙门站-龙门",2,0,"35.567688","110.518730",844.82,856.02,"35.477235","110.471592","G000561","2025-10-27",0,1,0,"G0005610010020","G0005610010030",400304,400303,"G000561001001410",40,1,"阎禹高速",1,1,1,1,"G000561001001410010","0",,"6",1036,1,"2005-10-28",2,
"G000561001001420","龙门-龙门站",2,0,"35.477235","110.471592",856.02,844.82,"35.567688","110.518730","G000561","2025-10-27",0,1,0,"G0005610010030","G0005610010020",400303,400304,"G000561001001420",40,1,"阎禹高速",1,1,1,1,"G000561001001420010","0",,"6",1037,2,"2005-10-28",2,
"G000561001001510","韩城站-韩城",2,0,"35.477235","110.471592",856.02,873.8,"35.341637","110.383738","G000561","2025-10-27",0,1,0,"G0005610010030","G0005610010040",400303,400302,"G000561001001510",40,1,"阎禹高速",1,1,1,1,"G000561001001510010","0",,"6",1038,1,"2005-10-28",2,
"G000561001001520","韩城-韩城站",2,0,"35.341637","110.383738",873.8,856.02,"35.477235","110.471592","G000561","2025-10-27",0,1,0,"G0005610010040","G0005610010030",400302,400303,"G000561001001520",40,1,"阎禹高速",1,1,1,1,"G000561001001520010","0",,"6",1039,2,"2005-10-28",2,
"G000561001001610","芝川站-芝川",2,0,"35.341637","110.383738",873.8,901.65,"35.210810","110.158477","G000561","2025-10-27",0,1,0,"G0005610010040","G0005610010050",400302,400301,"G000561001001610",40,1,"阎禹高速",1,1,1,1,"G000561001001610010","0",,"6",1040,1,"2005-10-28",2,
"G000561001001620","芝川-芝川站",2,0,"35.210810","110.158477",901.65,873.8,"35.341637","110.383738","G000561","2025-10-27",0,1,0,"G0005610010050","G0005610010040",400301,400302,"G000561001001620",40,1,"阎禹高速",1,1,1,1,"G000561001001620010","0",,"6",1041,2,"2005-10-28",2,
"G000561001001710","合阳站-合阳",2,0,"35.210810","110.158477",901.65,935.5,"35.004106","109.923889","G000561","2025-10-27",0,1,0,"G0005610010050","G0005610010060",400301,400203,"G000561001001710",40,1,"阎禹高速",1,1,1,1,"G000561001001710010","0",,"6",1042,1,"2005-10-28",2,
"G000561001001720","合阳-合阳站",2,0,"35.004106","109.923889",935.5,901.65,"35.210810","110.158477","G000561","2025-10-27",0,1,0,"G0005610010060","G0005610010050",400203,400301,"G000561001001720",40,1,"阎禹高速",1,1,1,1,"G000561001001720010","0",,"6",1043,2,"2005-10-28",2,
"G000561001001810","澄城站-澄城",2,0,"35.004106","109.923889",935.5,952.99,"34.980828","109.870805","G000561","2025-10-27",0,1,0,"G0005610010060","G0005610010070",400203,400202,"G000561001001810",40,1,"阎禹高速",1,1,1,1,"G000561001001810010","0",,"6",1044,1,"2005-10-28",2,
"G000561001001820","澄城-澄城站",2,0,"34.980828","109.870805",952.99,935.5,"35.004106","109.923889","G000561","2025-10-27",0,1,0,"G0005610010070","G0005610010060",400202,400203,"G000561001001820",40,1,"阎禹高速",1,1,1,1,"G000561001001820010","0",,"6",1045,2,"2005-10-28",2,
"G000561001001910","孙镇站-孙镇",2,0,"34.935798","109.757898",952.99,963.57,"34.914297","109.645777","G000561","2025-10-27",0,1,0,"G0005610010070",,400202,9990204,"G000561001001910",40,1,"阎禹高速",1,1,1,1,"G000561001001910010","0",,"6",1046,1,"2005-10-28",2,
"G000561001001920","孙镇-孙镇站",2,0,"34.914297","109.645777",963.57,952.99,"34.935798","109.757898","G000561","2025-10-27",0,1,0,,"G0005610010070",9990204,400202,"G000561001001920",40,1,"阎禹高速",1,1,1,1,"G000561001001920010","0",,"6",1047,2,"2005-10-28",2,
"G000561001002010","蒲城站-蒲城",2,0,"34.914297","109.645777",963.57,968.274,"34.905262","109.596570","G000561","2025-10-27",0,1,0,,"G0005610010080",9990204,400201,"G000561001002010",40,1,"阎禹高速",1,1,1,1,"G000561001002010010","0",,"6",1048,1,"2005-10-28",2,
"G000561001002020","蒲城-蒲城站",2,0,"34.905262","109.596570",968.274,963.57,"34.914297","109.645777","G000561","2025-10-27",0,1,0,"G0005610010080",,400201,9990204,"G000561001002020",40,1,"阎禹高速",1,1,1,1,"G000561001002020010","0",,"6",1049,2,"2005-10-28",2,
"G000561001002110","荆姚站-荆姚",2,0,"34.905262","109.596570",968.274,984.364,"34.859164","109.436021","G000561","2025-10-27",0,1,0,"G0005610010080","G0005610010090",400201,400102,"G000561001002110",40,1,"阎禹高速",1,1,1,1,"G000561001002110010","0",,"6",1050,1,"2005-10-28",2,
"G000561001002120","荆姚-荆姚站",2,0,"34.859164","109.436021",984.364,968.274,"34.905262","109.596570","G000561","2025-10-27",0,1,0,"G0005610010090","G0005610010080",400102,400201,"G000561001002120",40,1,"阎禹高速",1,1,1,1,"G000561001002120010","0",,"6",1051,2,"2005-10-28",2,
"G000561001002210","富平站-富平",2,0,"34.859164","109.436021",984.364,1009.205,"34.726618","109.224425","G000561","2025-10-27",0,1,0,"G0005610010090","G0005610010100",400102,400101,"G000561001002210",40,1,"阎禹高速",1,1,1,1,"G000561001002210010","0",,"6",1052,1,"2005-10-28",2,
"G000561001002220","富平-富平站",2,0,"34.726618","109.224425",1009.205,984.364,"34.859164","109.436021","G000561","2025-10-27",0,1,0,"G0005610010100","G0005610010090",400101,400102,"G000561001002220",40,1,"阎禹高速",1,1,1,1,"G000561001002220010","0",,"6",1053,2,"2005-10-28",2,
"G000561001002310","合阳东枢纽-合阳匝道",2,14280,"38.788470","109.788470",887.3,901.63,"38.788470","109.788470","G000561","2025-10-27",0,1,0,,"G0005610010050",0,400301,"G000561001002310",40,1,"阎禹高速",1,1,1,1,"G000561001002310010",,,"0",,1,"2021-01-01",1,
"G000561001002320","合阳匝道-合阳东枢纽",2,14280,"35.647205","110.586035",901.63,887.3,"35.647202","109.788470","G000561","2025-10-27",0,1,0,"G0005610010050",,400301,0,"G000561001002320",40,1,"阎禹高速",1,1,1,1,"G000561001002320010",,,"0",,2,"2021-01-01",1,
"G000561002000110","阎禹交界点-阎良匝道",2,1500,"34.697152","109.207518",1013,1018.25,"34.654620","109.183567","G000561","2021-09-30",0,1,0,,"G0005610020010",9990009,410102,"G000561001001210",41,1,"西阎高速",1,1,1,1,"G000561001001210010","0","270019","0",25,1,"2001-10-01",2,
"G000561002000120","阎良匝道-阎禹交界点",2,1500,"34.654698","109.183889",1018.25,1013,"34.697120","109.207839","G000561","2021-09-30",0,1,0,"G0005610020010",,410102,9990009,"G000561001001220",41,1,"西阎高速",1,1,1,1,"G000561001001220010","0","27001A","0",26,2,"2001-10-01",2,
"G000561002000210","阎良匝道-高陵北互通",2,14280,"34.654620","109.183567",1018.25,1032.53,"34.547781","109.111149","G000561","2021-09-30",0,1,0,"G0005610020010",,410102,9900620,"G000561002000210",41,1,"西阎高速",1,1,1,1,"G000561002000210010","0","27001B","0",27,1,"2001-10-01",1,
"G000561002000220","高陵北互通-阎良匝道",2,14280,"34.547992","109.111449",1032.53,1018.25,"34.654698","109.183889","G000561","2021-09-30",0,1,0,,"G0005610020010",9900620,410102,"G000561002000220",41,1,"西阎高速",1,1,1,1,"G000561002000220010","0","27001C","0",28,2,"2001-10-01",1,
"G000561002000310","高陵北互通-高陵匝道",2,2820,"34.547781","109.111149",1032.53,1035.35,"34.523255","109.118032","G000561","2021-09-30",0,1,0,,"G0005610020020",9900620,410101,"G000561002000310",41,1,"西阎高速",1,1,1,1,"G000561002000310010","0","27001D","0",29,1,"2001-10-01",1,
"G000561002000320","高陵匝道-高陵北互通",2,2820,"34.523503","109.118370",1035.35,1032.53,"34.547992","109.111449","G000561","2021-09-30",0,1,0,"G0005610020020",,410101,9900620,"G000561002000320",41,1,"西阎高速",1,1,1,1,"G000561002000320010","0","27001E","0",30,2,"2001-10-01",1,
"G000561002000410","高陵匝道-港务区匝道",2,14800,"34.523255","109.118032",1035.35,1050,"34.393317","109.114744","G000561","2021-09-30",0,1,0,"G0005610020020","G0005610020030",410101,410103,"G000561002000410",41,1,"西阎高速",1,1,1,1,"G000561002000410010","0","27001F","0",31,1,"2001-10-01",1,
"G000561002000420","港务区匝道-高陵匝道",2,14800,"34.393307","109.115054",1050,1035.35,"34.523503","109.118370","G000561","2021-09-30",0,1,0,"G0005610020030","G0005610020020",410103,410101,"G000561002000420",41,1,"西阎高速",1,1,1,1,"G000561002000420010","0","270020","0",32,2,"2001-10-01",1,
"G000561002000510","港务区匝道-谢王互通",2,5850,"34.393317","109.114744",1050,1056,"34.357259","109.073933","G000561","2021-09-30",0,1,0,"G0005610020030",,410103,9990003,"G000561002000510",41,1,"西阎高速",1,1,1,1,"G000561002000510010","0","270021","0",33,1,"2001-10-01",1,
"G000561002000520","谢王互通-港务区匝道",2,5850,"34.357151","109.074200",1056,1050,"34.393307","109.115054","G000561","2021-09-30",0,1,0,,"G0005610020030",9990003,410103,"G000561002000520",41,1,"西阎高速",1,1,1,1,"G000561002000520010","0","270022","0",34,2,"2001-10-01",1,
"G000561002000610","阎良站-阎良",2,0,"34.655916","109.178528",1018.25,1032.53,"34.550727","109.109185","G000561","2021-09-30",0,1,0,"G0005610020010",,410102,9900620,"G000561002000610",41,1,"西阎高速",1,1,1,1,"G000561002000610010","0",,"6",1056,1,"2001-10-01",2,
"G000561002000620","阎良-阎良站",2,0,"34.550727","109.109185",1032.53,1018.25,"34.655916","109.178528","G000561","2021-09-30",0,1,0,,"G0005610020010",9900620,410102,"G000561002000620",41,1,"西阎高速",1,1,1,1,"G000561002000620010","0",,"6",1057,2,"2001-10-01",2,
"G000561002000710","高陵站-高陵",2,0,"34.550727","109.109185",1032.53,1035.35,"34.524325","109.113317","G000561","2021-09-30",0,1,0,,"G0005610020020",9900620,410101,"G000561002000710",41,1,"西阎高速",1,1,1,1,"G000561002000710010","0",,"6",1058,1,"2001-10-01",2,
"G000561002000720","高陵-高陵站",2,0,"34.524325","109.113317",1035.35,1032.53,"34.550727","109.109185","G000561","2021-09-30",0,1,0,"G0005610020020",,410101,9900620,"G000561002000720",41,1,"西阎高速",1,1,1,1,"G000561002000720010","0",,"6",1059,2,"2001-10-01",2,
"G000561002000810","港务区站-港务区",2,0,"34.524325","109.113317",1035.35,1050,"34.390653","109.109425","G000561","2021-09-30",0,1,0,"G0005610020020","G0005610020030",410101,410103,"G000561002000810",41,1,"西阎高速",1,1,1,1,"G000561002000810010","0",,"6",1060,1,"2001-10-01",2,
"G000561002000820","港务区-港务区站",2,0,"34.390653","109.109425",1050,1035.35,"34.524325","109.113317","G000561","2021-09-30",0,1,0,"G0005610020030","G0005610020020",410103,410101,"G000561002000820",41,1,"西阎高速",1,1,1,1,"G000561002000820010","0",,"6",1061,2,"2001-10-01",2,
"G000561003000110","西户立交-三星立交",2,6900,"34.184527","108.819165",1100.408,1108.119,"34.153684","108.754929","G000561","2023-12-09",0,1,0,,,9990008,9900014,"G000561003000110",42,1,"西户高速",1,1,1,1,"G000561003000110010","0","270023","0",35,1,"2003-12-10",1,
"G000561003000120","三星立交-西户立交",2,6900,"34.151225","108.756178",1108.119,1100.408,"34.184527","108.819165","G000561","2023-12-09",0,1,0,,,9900014,9990008,"G000561003000120",42,1,"西户高速",1,1,1,1,"G000561003000120010","0","270024","0",36,2,"2003-12-10",1,
"G000561003000210","三星A收费站-三星立交",2,5596,"34.149704","108.756792",1108.126,1108.126,"34.153269","108.754936","G000561","2023-12-09",0,1,0,"G0005610030010",,420103,9900014,"G000561003000210",42,1,"西户高速",1,1,1,1,"G000561003000210010","0","270025","2",37,1,"2003-12-10",2,
"G000561003000220","三星立交-三星A收费站",2,5596,"34.152880","108.754166",1108.119,1108.119,"34.149704","108.756792","G000561","2023-12-09",0,1,0,,"G0005610030010",9900014,420103,"G000561003000220",42,1,"西户高速",1,1,1,1,"G000561003000220010","0","270026","2",38,2,"2003-12-10",2,
"G000561003000310","三星立交-鄠邑东立交",2,6500,"34.153684","108.754929",1108.119,1114.367,"34.132751","108.693695","G000561","2023-12-09",0,1,0,,,9900014,9900615,"G000561003000310",42,1,"西户高速",1,1,1,1,"G000561003000310010","0","270027","0",39,1,"2003-12-10",1,
"G000561003000320","鄠邑东立交-三星立交",2,6500,"34.132825","108.694180",1114.367,1108.119,"34.152880","108.754166","G000561","2023-12-09",0,1,0,,,9900615,9900014,"G000561003000320",42,1,"西户高速",1,1,1,1,"G000561003000320010","0","270028","0",40,2,"2003-12-10",1,
"G000561003000410","鄠邑东立交-鄠邑匝道",2,3600,"34.132225","108.693192",1114.367,1117.974,"34.105955","108.673130","G000561","2023-12-09",0,1,0,,"G0005610030020",9900615,420101,"G000561003000410",42,1,"西户高速",1,1,1,1,"G000561003000410010","0","270029","0",41,1,"2003-12-10",1,
"G000561003000420","鄠邑匝道-鄠邑东立交",2,3600,"34.104027","108.674539",1117.974,1114.367,"34.132825","108.694180","G000561","2023-12-09",0,1,0,"G0005610030020",,420101,9900615,"G000561003000420",42,1,"西户高速",1,1,1,1,"G000561003000420010","0","27002A","0",42,2,"2003-12-10",1,
"G000561003000510","鄠邑匝道-涝峪匝道",2,15000,"34.105839","108.674489",1117.974,1132.179,"34.039129","108.550464","G000561","2023-12-09",0,1,0,"G0005610030020","G0005610030030",420101,420102,"G000561003000510",42,1,"西户高速",1,1,1,1,"G000561003000510010","0","27002B","0",43,1,"2003-12-10",1,
"G000561003000520","涝峪匝道-鄠邑匝道",2,15000,"34.039350","108.550168",1132.179,1117.974,"34.103224","108.673169","G000561","2023-12-09",0,1,0,"G0005610030030","G0005610030020",420102,420101,"G000561003000520",42,1,"西户高速",1,1,1,1,"G000561003000520010","0","27002C","0",44,2,"2003-12-10",1,
"G000561003000610","涝峪匝道-西户拆分点",2,1520,"34.039668","108.550200",1132.179,1133.928,"34.018536","108.539041","G000561","2023-12-09",0,1,0,,,,,"G000561004000110",42,1,"西户高速",1,1,1,1,"G000561004000110010","0","27002D","0",45,1,"2003-12-10",1,
"G000561003000620","西户拆分点-涝峪匝道",2,1520,"34.018074","108.538853",1133.928,1132.179,"34.037778","108.548607","G000561","2023-12-09",0,1,0,,,,,"G000561004000120",42,1,"西户高速",1,1,1,1,"G000561004000120010","0","27002E","0",46,2,"2003-12-10",1,
"G000561003000710","鄠邑站-鄠邑",2,0,"34.134462","108.689527",1114.367,1117.974,"34.105906","108.668694","G000561","2023-12-09",0,1,0,,"G0005610030020",9900615,420101,"G000561003000710",42,1,"西户高速",1,1,1,1,"G000561003000710010","0",,"6",1062,1,"2003-12-10",2,
"G000561003000720","鄠邑-鄠邑站",2,0,"34.105906","108.668694",1117.974,1114.367,"34.134462","108.689527","G000561","2023-12-09",0,1,0,"G0005610030020",,420101,9900615,"G000561003000720",42,1,"西户高速",1,1,1,1,"G000561003000720010","0",,"6",1063,2,"2003-12-10",2,
"G000561003000810","涝峪站-涝峪",2,0,"34.105906","108.668694",1117.974,1132.179,"34.041324","108.545898","G000561","2023-12-09",0,1,0,"G0005610030020","G0005610030030",420101,420102,"G000561003000810",42,1,"西户高速",1,1,1,1,"G000561003000810010","0",,"6",1064,1,"2003-12-10",2,
"G000561003000820","涝峪-涝峪站",2,0,"34.041324","108.545898",1132.179,1117.974,"34.105906","108.668694","G000561","2023-12-09",0,1,0,"G0005610030030","G0005610030020",420102,420101,"G000561003000820",42,1,"西户高速",1,1,1,1,"G000561003000820010","0",,"6",1065,2,"2003-12-10",2,
"G000561003000910","三星B收费站-三星B",2,0,"34.149704","108.756792",1108.126,1108.126,"34.153269","108.754936","G000561","2023-12-09",0,1,0,"G0005610030040","G0005610030040",420104,420104,"G000561003000910",42,1,"西户高速",1,1,1,1,"G000561003000910010","0",,"6",1672,1,"2003-12-10",2,
"G000561003000920","三星B-三星B收费站",2,0,"34.152880","108.754166",1108.119,1108.119,"34.149704","108.756792","G000561","2023-12-09",0,1,0,"G0005610030040","G0005610030040",420104,420104,"G000561003000920",42,1,"西户高速",1,1,1,1,"G000561003000920010","0",,"6",1673,2,"2003-12-10",2,
"G000561004000110","西户拆分点-纸坊匝道",2,8640,"34.018536","108.539041",1133.928,1142.305,"33.951996","108.528226","G000561","2027-09-27",0,1,0,"G0005610030030","G0005610040010",420102,450403,"G000561004000110",45,1,"西汉北高速",1,2,2,1,"G000561004000110010","0","27002F","0",47,1,"2007-09-27",1,
"G000561004000120","纸坊匝道-西户拆分点",2,8640,"33.951729","108.528289",1142.305,1133.928,"34.018074","108.538853","G000561","2027-09-27",0,1,0,"G0005610040010","G0005610030030",450403,420102,"G000561004000120",45,1,"西汉北高速",1,2,2,1,"G000561004000120010","0","270030","0",48,2,"2007-09-27",1,
"G000561004000210","纸坊匝道-朱雀匝道",2,14230,"33.951748","108.528282",1142.305,1156.55,"33.836925","108.515245","G000561","2027-09-27",0,1,0,"G0005610040010","G0005610040020",450403,450402,"G000561004000210",45,1,"西汉北高速",1,2,2,1,"G000561004000210010","0","270031","0",49,1,"2007-09-27",1,
"G000561004000220","朱雀匝道-纸坊匝道",2,14230,"33.835772","108.515884",1156.55,1142.305,"33.951887","108.528562","G000561","2027-09-27",0,1,0,"G0005610040020","G0005610040010",450402,450403,"G000561004000220",45,1,"西汉北高速",1,2,2,1,"G000561004000220010","0","270032","0",50,2,"2007-09-27",1,
"G000561004000310","朱雀匝道-西汉隧道专项",2,32610,"33.831766","108.515751",1156.55,1189.23,"33.592745","108.406545","G000561","2027-09-27",0,1,0,"G0005610040020",,450402,,"G000561004000310",45,1,"西汉北高速",1,2,2,1,"G000561004000310010","0","270033","0",51,1,"2007-09-27",1,
"G000561004000320","西汉隧道专项-朱雀匝道",2,32610,"33.591577","108.405267",1189.23,1156.55,"33.832931","108.515676","G000561","2027-09-27",0,1,0,,"G0005610040020",,450402,"G000561004000320",45,1,"西汉北高速",1,2,2,1,"G000561004000320010","0","270034","0",52,2,"2007-09-27",1,
"G000561004000410","西汉隧道专项-皇冠匝道",2,1,"33.823993","108.519049",1157.807,1175.499,"33.713385","108.453864","G000561","2027-09-27",0,1,0,,"G0005610040040",,450401,"G000561004000310",45,0,"西汉隧道专项",2,2,2,1,"G000561004000310010","0","270035","0",53,1,"2007-09-27",1,
"G000561004000420","皇冠匝道-西汉隧道专项",2,1,"33.684414","108.430725",1175.8,1157.814,"33.782618","108.497574","G000561","2027-09-27",0,1,0,"G0005610040040",,450401,,"G000561004000320",45,0,"西汉隧道专项",2,2,2,1,"G000561004000320010","0","270036","0",54,2,"2007-09-27",1,
"G000561004000510","皇冠匝道-宁陕匝道",2,29180,"33.527324","108.345671",1189.23,1218.9,"33.416337","108.238232","G000561","2027-09-27",0,1,0,"G0005610040040","G0005610040050",450401,450303,"G000561004000510",45,1,"西汉北高速",1,2,2,1,"G000561004000510010","0","270037","0",55,1,"2007-09-27",1,
"G000561004000520","宁陕匝道-皇冠匝道",2,29180,"33.410320","108.235890",1218.9,1189.23,"33.527324","108.345671","G000561","2027-09-27",0,1,0,"G0005610040050","G0005610040040",450303,450401,"G000561004000520",45,1,"西汉北高速",1,2,2,1,"G000561004000520010","0","270038","0",56,2,"2007-09-27",1,
